airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Indigo,2019-06-09,Kolkata,Banglore,,10:20:00,240,1.0,No Info,4226
Jet Airways,2019-05-09,Kolkata,Banglore,,,730,1.0,In-flight meal not included,9663
Indigo,2019-06-18,Delhi,Cochin,,08:50:00,195,0.0,No Info,5000
Jet Airways,2019-03-15,Banglore,New Delhi,,15:15:00,435,1.0,In-flight meal not included,9134
Vistara,2019-06-21,Delhi,Cochin,,09:10:00,190,0.0,No Info,6216
Air Asia,2019-06-03,Delhi,Cochin,,15:45:00,470,1.0,No Info,8759
Indigo,2019-03-27,Delhi,Cochin,,16:10:00,570,1.0,No Info,6442
Jet Airways,2019-05-01,Kolkata,Banglore,,,800,1.0,No Info,11467
Jet Airways,2019-05-01,Kolkata,Banglore,,,1745,1.0,No Info,14151
Jet Airways,2019-05-18,Delhi,Cochin,,,1390,2.0,No Info,15129
Jet Airways,2019-06-06,Delhi,Cochin,,,1680,1.0,No Info,14714
Multiple Carriers,2019-06-03,Delhi,Cochin,,22:30:00,765,1.0,No Info,9646
Air India,2019-06-09,Delhi,Cochin,,,1560,2.0,No Info,12199
Indigo,2019-03-18,Kolkata,Banglore,,12:55:00,165,0.0,No Info,4462
Jet Airways,2019-06-24,Delhi,Cochin,,19:00:00,450,1.0,No Info,14714
Jet Airways,2019-03-21,Banglore,New Delhi,,23:00:00,900,1.0,In-flight meal not included,7832
Jet Airways,2019-05-18,Kolkata,Banglore,,20:45:00,740,1.0,In-flight meal not included,10844
Indigo,2019-03-21,Banglore,New Delhi,,03:25:00,165,0.0,No Info,4944
Air India,2019-03-18,Kolkata,Banglore,,23:20:00,155,0.0,No Info,4435
Indigo,2019-03-01,Mumbai,Hyderabad,,04:00:00,90,0.0,No Info,16000
Jet Airways,2019-05-21,Banglore,Delhi,,22:00:00,185,0.0,No Info,7229
Indigo,2019-05-09,Delhi,Cochin,,20:00:00,290,1.0,No Info,6147
Vistara,2019-06-06,Kolkata,Banglore,,,1625,1.0,No Info,9345
Jet Airways,2019-05-18,Delhi,Cochin,,,1375,2.0,No Info,15129
Jet Airways,2019-05-15,Kolkata,Banglore,,17:35:00,435,1.0,In-flight meal not included,5608
Indigo,2019-03-06,Delhi,Cochin,,21:20:00,765,2.0,No Info,7682
Jet Airways,2019-05-18,Delhi,Cochin,,,1390,2.0,No Info,16704
Multiple Carriers,2019-06-01,Delhi,Cochin,,22:30:00,555,1.0,No Info,9646
Jet Airways,2019-05-12,Kolkata,Banglore,,,1285,1.0,In-flight meal not included,10844
Spicejet,2019-03-15,Banglore,New Delhi,,12:30:00,175,0.0,No check-in baggage included,6205
Indigo,2019-03-24,Chennai,Kolkata,,07:35:00,140,0.0,No Info,4326
Jet Airways,2019-03-21,Delhi,Cochin,,18:50:00,485,2.0,No Info,11360
Indigo,2019-05-01,Mumbai,Hyderabad,,21:40:00,95,0.0,No Info,2227
Jet Airways,2019-04-01,Kolkata,Banglore,,,800,1.0,No Info,14151
Jet Airways,2019-05-27,Banglore,Delhi,,08:45:00,165,0.0,No Info,7229
Indigo,2019-03-18,Banglore,New Delhi,,17:05:00,295,1.0,No Info,4410
Jet Airways,2019-06-09,Delhi,Cochin,,19:00:00,810,2.0,No Info,13014
Jet Airways,2019-06-06,Delhi,Cochin,,,1280,1.0,In-flight meal not included,10262
Indigo,2019-06-12,Mumbai,Hyderabad,,18:25:00,90,0.0,No Info,3175
Vistara,2019-06-01,Delhi,Cochin,,09:10:00,190,0.0,No Info,6741
